"parcel","owner_name","property_address","city","state","postal_code","signal_type","distress_stage","amount","event_date","case_number","record_url","notes"
"","","","","AZ","","procurement_opportunity","funding_open","","2026-02-17T23:19:56.0045877Z","","https://cms.prod.iae.mcaas.fcs.gsa.gov/opportunities","government procurement/buildout opportunity watch link"
"","","","","AZ","","procurement_opportunity","funding_open","","2026-02-17T23:19:56.0046671Z","","https://open.gsa.gov/api/get-opportunities-public-api/","government procurement/buildout opportunity watch link"
"","","","","AZ","","procurement_opportunity","funding_open","","2026-02-17T23:19:56.0047058Z","","https://www.acquisition.gov/?q=procurement-forecasts","government procurement/buildout opportunity watch link"
"","","","","AZ","","procurement_opportunity","funding_open","","2026-02-17T23:19:56.0048401Z","","https://www.sba.gov/federal-contracting/counseling-help","government procurement/buildout opportunity watch link"
